number,state,values,param_d2d_bw_gbps,param_dram_bw_gbps,param_io_sram_mb,param_num_pim_chiplets,param_num_sa,param_pe_m,param_pe_n,param_process_node,param_sa_m,param_sa_n,constraint_area_mm2,constraint_power_w,constraint_sram_mb,constraint_tpot_ms,hw_d2d_bw_gbps,hw_dram_bw_gbps,hw_io_sram_mb,hw_num_pim_chiplets,hw_num_sa,hw_pe_m,hw_pe_n,hw_process_node,hw_sa_m,hw_sa_n,mapping_io_buffer_peak_mb,mapping_mapping_latency_ms,mapping_tile_k,mapping_tile_n,mapping_utilization,ppac_area_mm2,ppac_cost_usd,ppac_energy_per_token_j,ppac_power_w,ppac_tokens_per_dollar,ppac_tokens_per_second,ppac_tpot_ms
0,COMPLETE,"[0.020036629219263264, 1.0333744063304406, 2.603888562076194]",768,512,64,4,4,8,8,7nm,16,8,3625.8399999999992,1869.7920000000004,14.560000000000002,-16.96662559366956,768,512,64,4,4,8,8,7nm,16,8,78.56,0.2534723885322655,128,64,0.7447916666666666,4575.839999999999,48296.719999999994,2.603888562076194,2519.7920000000004,0.020036629219263264,967.7034711465764,1.0333744063304406
1,COMPLETE,"[0.018624442378962606, 5.468107916226893, 3.2041362594556406]",1536,1024,64,12,1,4,4,7nm,8,8,-55.43999999999994,-64.03199999999993,60.31999999999999,-12.531892083773107,1536,1024,64,12,1,4,4,7nm,8,8,124.32,0.5679742981603891,64,64,0.7911111111111111,894.5600000000001,9819.28,3.2041362594556406,585.9680000000001,0.018624442378962606,182.87861456289994,5.468107916226893
2,COMPLETE,"[0.056499846866460264, 2.9808514210722996, 1.2722502794525712]",1024,3072,64,4,2,4,4,12nm,16,8,34.799999999999955,-223.19232,19.680000000000007,-15.0191485789277,1024,3072,64,4,2,4,4,12nm,16,8,83.68,0.6314768569261532,128,64,0.96,984.8,5937.62,1.2722502794525712,426.80768,0.056499846866460264,335.4746207512318,2.9808514210722996
3,COMPLETE,"[0.026577462134829765, 6.902585199043353, 2.509364718846588]",768,2048,512,8,1,4,4,12nm,8,8,-91.856,-286.46016000000003,-418.24,-11.097414800956647,768,2048,512,8,1,4,4,12nm,8,8,93.76,0.6546155018206341,64,64,0.8933333333333333,858.144,5450.9816,2.509364718846588,363.53983999999997,0.026577462134829765,144.87325707165377,6.902585199043353
4,COMPLETE,"[0.012106356837593037, 1.5508615462520356, 3.822568501958965]",512,1024,128,24,1,4,2,3nm,32,16,1433.1616000000004,1814.8031999999998,21.439999999999998,-16.449138453747963,512,1024,128,24,1,4,2,3nm,32,16,149.44,0.6467531677979299,256,128,0.6101234567901235,2383.1616000000004,53261.513280000014,3.822568501958965,2464.8032,0.012106356837593037,644.8028854778805,1.5508615462520356
5,COMPLETE,"[0.01697112504069967, 0.7498149740116538, 2.7762181343211707]",512,1536,128,16,2,8,4,3nm,8,16,2589.5648,3052.5376,-8.960000000000008,-17.250185025988348,512,1536,128,16,2,8,4,3nm,8,16,119.03999999999999,0.284092461920276,64,128,0.5928935185185185,3539.5648,78584.20384000002,2.7762181343211707,3702.5376,0.01697112504069967,1333.6623495924714,0.7498149740116538
6,COMPLETE,"[0.008656834375271026, 0.2817661228553258, 5.646032455060116]",256,3072,384,32,4,4,4,5nm,16,32,25913.161599999996,19388.010239999996,-209.28,-17.718233877144673,256,3072,384,32,4,4,4,5nm,16,32,174.72,0.20971609676130792,128,256,0.5440046296296297,26863.161599999996,409970.03536,5.646032455060116,20038.010239999996,0.008656834375271026,3549.042694935526,0.2817661228553258
7,COMPLETE,"[0.020331313063691618, 8.845064069379251, 2.7799654263291194]",256,1024,512,8,1,2,2,12nm,32,16,-72.84800000000007,-335.70431999999994,-428.48,-9.154935930620749,256,1024,512,8,1,2,2,12nm,32,16,83.52000000000001,1.3000334102070505,256,128,0.9060185185185186,877.1519999999999,5560.7528,2.7799654263291194,314.29568000000006,0.020331313063691618,113.05740604659975,8.845064069379251
8,COMPLETE,"[0.01187175472230731, 0.8132447363057607, 4.114304792245725]",256,1024,256,8,4,4,4,5nm,32,16,5826.4544,4409.12256,-172.48,-17.186755263694238,256,1024,256,8,4,4,4,5nm,32,16,83.52000000000001,0.38740024922558264,256,128,0.6376851851851852,6776.4544,103577.11824000001,4.114304792245725,5059.12256,0.01187175472230731,1229.6421425887027,0.8132447363057607
9,COMPLETE,"[0.04354114972402609, 3.0733242276497115, 1.328610356909881]",768,2048,512,4,4,2,2,7nm,8,32,-277.072,-217.69599999999997,-433.44,-14.926675772350288,768,2048,512,4,4,2,2,7nm,8,32,78.56,0.8930431353897004,64,256,0.96,672.928,7472.9439999999995,1.328610356909881,432.30400000000003,0.04354114972402609,325.3805735832624,3.0733242276497115
